Date,Dif Rates,Rate_COP
2020-09-23,-1.89,3864.04
2020-09-24,-1.882,3827.5
2020-09-25,-1.8739999999999999,3887.15
2020-09-28,-1.634,3871.6
2020-09-29,-1.648,3887.49
2020-09-30,-1.637,3829.18
2020-10-01,-1.631,3845.06
2020-10-02,-1.613,3870.82
2020-10-05,-1.6219999999999999,3830.1
2020-10-06,-1.6079999999999999,3832.18
2020-10-07,-1.615,3838.6
2020-10-08,-1.63,3839.34
2020-10-09,-1.613,3826.52
2020-10-12,-1.613,3825.98
2020-10-13,-1.615,3862.07
2020-10-14,-1.6179999999999999,3837.26
2020-10-15,-1.6099999999999999,3849.49
2020-10-16,-1.621,3849.48
2020-10-19,-1.621,3844.7
2020-10-20,-1.632,3821.65
2020-10-21,-1.642,3768.84
2020-10-22,-1.64,3785.48
2020-10-23,-1.628,3788.34
2020-10-26,-1.6199999999999999,3814.09
2020-10-27,-1.621,3810.48
2020-10-28,-1.629,3835.55
2020-10-30,-1.6139999999999999,3870.94
2020-11-03,-1.607,3820.1
2020-11-04,-1.605,3815.03
2020-11-05,-1.5939999999999999,3764.57
2020-11-06,-1.597,3722.51
2020-11-09,-1.607,3648.6
2020-11-10,-1.6119999999999999,3628.98
2020-11-11,-1.609,3632.38
2020-11-12,-1.617,3643.18
2020-11-13,-1.617,3639.63
2020-11-17,-1.619,3638.99
2020-11-18,-1.63,3644.92
2020-11-19,-1.647,3649.12
2020-11-20,-1.659,3641.75
2020-11-23,-1.659,3644.82
2020-11-24,-1.634,3639.71
2020-11-25,-1.631,3620.26
2020-11-26,-1.632,3616.85
2020-11-27,-1.631,3613.02
2020-11-30,-1.621,3600.75
2020-12-01,-1.632,3570.65
2020-12-02,-1.633,3530.71
2020-12-03,-1.633,3476.1
2020-12-04,-1.623,3467.04
2020-12-07,-1.636,3487.87
2020-12-09,-1.633,3465.68
2020-12-10,-1.631,3439.45
2020-12-11,-1.631,3435.54
2020-12-14,-1.63,3429.97
2020-12-15,-1.6219999999999999,3424.97
2020-12-16,-1.623,3418.14
2020-12-17,-1.621,3412.43
